GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus hilgardii ATCC 8290	NZ_GG669992	PATRIC	source	27426394		1	925662	+	925662		
Lactobacillus hilgardii ATCC 8290	NZ_GG669992	PATRIC	CDS	27426396	VBILacHil40002_0001	214	336	+	123		hypothetical protein
Lactobacillus hilgardii ATCC 8290	NZ_GG669992	PATRIC	gene	27426395	VBILacHil40002_0001	214	336	+	123		
Lactobacillus hilgardii ATCC 8290	NZ_GG669992	PATRIC	gene	27426397	VBILacHil40002_0002	410	1588	+	1179		
Lactobacillus hilgardii ATCC 8290	NZ_GG669992	PATRIC	CDS	27426398	VBILacHil40002_0002	410	1588	+	1179		3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)
Lactobacillus hilgardii ATCC 8290	NZ_GG669992	PATRIC	gene	27426399	VBILacHil40002_0003	1676	3247	-	1572		
Lactobacillus hilgardii ATCC 8290	NZ_GG669992	PATRIC	CDS	27426400	VBILacHil40002_0003	1676	3247	-	1572		FIG00750986: hypothetical protein
Lactobacillus hilgardii ATCC 8290	NZ_GG669992	PATRIC	gene	27426401	VBILacHil40002_0004	3375	3590	+	216		
Lactobacillus hilgardii ATCC 8290	NZ_GG669992	PATRIC	CDS	27426402	VBILacHil40002_0004	3375	3590	+	216		FIG00749304: hypothetical protein
Lactobacillus hilgardii ATCC 8290	NZ_GG669992	PATRIC	gene	27426403	VBILacHil40002_0005	3757	4290	+	534		
Lactobacillus hilgardii ATCC 8290	NZ_GG669992	PATRIC	CDS	27426404	VBILacHil40002_0005	3757	4290	+	534		Histone acetyltransferase HPA2 and related acetyltransferases
Lactobacillus hilgardii ATCC 8290	NZ_GG669992	PATRIC	gene	27426405	VBILacHil40002_0006	4353	4544	+	192		
Lactobacillus hilgardii ATCC 8290	NZ_GG669992	PATRIC	CDS	27426406	VBILacHil40002_0006	4353	4544	+	192		FIG00747085: hypothetical protein
Lactobacillus hilgardii ATCC 8290	NZ_GG669992	PATRIC	CDS	27426408	VBILacHil40002_0007	4759	5904	-	1146		Cystathionine gamma-lyase (EC 4.4.1.1)
Lactobacillus hilgardii ATCC 8290	NZ_GG669992	PATRIC	gene	27426407	VBILacHil40002_0007	4759	5904	-	1146		
